Date,current_price,portfolio_pnl,position,postion_pnl,capital,holding,action,portfolio_value,sortino,mean3,mean5,mean10,mean20,mean50,std3,std5,std10,std20,std50,sortino_delta,returns,benchmark
2013-11-29,27.6494,6259.087,0.0,0.0,31259.087,0.0,0.0,31259.087,-2.4686,27.423,27.3174,27.4985,27.1815,27.3653,0.2264,0.3035,0.3832,0.6224,0.7398,1.5269,1.25036348,1.28917258036
2013-12-02,27.8664,6259.087,0.0,0.0,31259.087,0.0,0.0,31259.087,-3.4104,27.6463,27.3985,27.4683,27.224,27.3968,0.2217,0.3926,0.3332,0.6393,0.7265,2.4686,1.25036348,1.29929035687
2013-12-03,27.7909,6257.587,0.0,0.0,31257.587,0.0,2.0,31257.587,-4.3131,27.7689,27.5853,27.4447,27.2358,27.4249,0.1102,0.2751,0.2956,0.6479,0.7136,3.4104,1.25030348,1.29577011666
2013-12-04,27.9513,6274.3583,31249.5534,27.9513,24.8049,1118.0,1.0,31274.3583,-4.007,27.8695,27.7362,27.4909,27.2707,27.4564,0.0802,0.2073,0.3366,0.6674,0.701,4.3131,1.250974332,1.30324887865
2013-12-05,27.8192,6126.6705,31101.8656,-119.7365,24.8049,1118.0,0.0,31126.6705,-4.6148,27.8538,27.8154,27.5475,27.3329,27.4758,0.0856,0.1109,0.3397,0.657,0.6973,4.007,1.24506682,1.29708962392
2013-12-06,27.6117,5883.5055,0.0,0.0,30883.5055,0.0,2.0,30883.5055,-4.5981,27.7941,27.8079,27.5626,27.4324,27.4853,0.1712,0.1254,0.3388,0.5207,0.6958,4.6148,1.23534022,1.28741479154
2013-12-09,27.4324,5883.5055,0.0,0.0,30883.5055,0.0,0.0,30883.5055,-4.6087,27.6211,27.7211,27.5598,27.4971,27.4932,0.1936,0.2017,0.3398,0.4228,0.6929,4.5981,1.23534022,1.27905480385
2013-12-10,27.989,5882.0055,0.0,0.0,30882.0055,0.0,2.0,30882.0055,-3.8606,27.6777,27.7607,27.673,27.5612,27.5123,0.2841,0.2355,0.2585,0.3928,0.6931,4.6087,1.23528022,1.30500666747
2013-12-11,26.9513,5880.5055,0.0,0.0,30880.5055,0.0,2.0,30880.5055,-6.1925,27.4576,27.5607,27.6485,27.5806,27.4987,0.5193,0.4002,0.3144,0.3481,0.6974,3.8606,1.23522022,1.25662318043
2013-12-12,27.0362,5896.1217,30875.3404,27.0362,20.7813,1142.0,1.0,30896.1217,-1.8663,27.3255,27.4041,27.6098,27.5546,27.4806,0.5762,0.4261,0.3649,0.3688,0.6974,6.1925,1.235844868,1.26058170221
2013-12-13,27.423,6336.3473,31317.066,468.7618,19.2813,1142.0,1.0,31336.3473,-2.165,27.1369,27.3664,27.5872,27.5428,27.4743,0.2514,0.4112,0.3692,0.3691,0.6965,1.8663,1.253453892,1.27861652228
2013-12-16,27.1117,5969.4227,0.0,0.0,30969.4227,0.0,2.0,30969.4227,-2.2025,27.1903,27.3023,27.5117,27.49,27.4519,0.205,0.4232,0.3827,0.3499,0.6896,2.165,1.238776908,1.26410194243
2013-12-17,27.2532,5969.4227,0.0,0.0,30969.4227,0.0,0.0,30969.4227,-2.2193,27.2626,27.1551,27.4579,27.4513,27.4404,0.1559,0.1864,0.3768,0.3297,0.688,2.2025,1.238776908,1.27069947872
2013-12-18,27.5362,5969.4227,0.0,0.0,30969.4227,0.0,0.0,30969.4227,-2.8109,27.3004,27.2721,27.4164,27.4537,27.4632,0.2161,0.2087,0.3372,0.3301,0.6713,2.2193,1.238776908,1.28389455132
2013-12-19,27.574,5985.7667,30965.602,27.574,20.1647,1123.0,1.0,30985.7667,-3.9942,27.4545,27.3796,27.3919,27.4697,27.4841,0.1753,0.1949,0.3127,0.3276,0.6577,2.8109,1.239430668,1.28565700271
2013-12-20,27.6334,6052.4729,31032.3082,94.2802,20.1647,1123.0,0.0,31052.4729,-4.0936,27.5812,27.4217,27.3941,27.4783,27.491,0.049,0.2267,0.3144,0.3297,0.6574,3.9942,1.242098916,1.28842656919
2013-12-23,28.1358,6615.1681,31596.5034,658.4754,18.6647,1123.0,1.0,31615.1681,-4.1026,27.7811,27.6265,27.4644,27.5121,27.4981,0.3087,0.32,0.3929,0.3608,0.6625,4.0936,1.264606724,1.31185131997
2013-12-24,28.2591,6742.404,0.0,0.0,31742.404,0.0,2.0,31742.404,-4.1839,28.0094,27.8277,27.4914,27.5822,27.5063,0.3314,0.3421,0.4394,0.3631,0.6694,4.1026,1.26969616,1.31760026856
2013-12-26,28.1832,6742.404,0.0,0.0,31742.404,0.0,0.0,31742.404,-4.2428,28.1927,27.9571,27.6146,27.6315,27.5145,0.0622,0.3263,0.4439,0.3748,0.6753,4.1839,1.26969616,1.31406137807
2013-12-27,28.515,6759.789,31737.195,28.515,22.594,1113.0,1.0,31759.789,-3.9255,28.3191,28.1453,27.7625,27.6861,27.5239,0.1739,0.3214,0.475,0.4196,0.686,4.2428,1.27039156,1.32953178474
2013-12-30,28.5529,6800.4717,31779.3777,70.6977,21.094,1113.0,1.0,31800.4717,-5.2504,28.4171,28.3292,27.8755,27.7313,27.5271,0.2034,0.1925,0.5178,0.462,0.6904,3.9255,1.272018868,1.3312988987
2013-12-31,28.7425,7011.4965,31990.4025,281.7225,21.094,1113.0,0.0,32011.4965,-5.2629,28.6035,28.4506,28.0385,27.7751,27.5188,0.1219,0.228,0.5072,0.5141,0.6726,5.2504,1.28045986,1.34013913108
2014-01-02,28.9416,7221.9648,0.0,0.0,32221.9648,0.0,2.0,32221.9648,-5.2983,28.7457,28.5871,28.2074,27.8326,27.5191,0.1944,0.2825,0.4977,0.5765,0.6734,5.2629,1.288878592,1.3494223076
2014-01-03,28.5529,7221.9648,0.0,0.0,32221.9648,0.0,0.0,32221.9648,-5.3755,28.7457,28.661,28.309,27.8627,27.5159,0.1944,0.1803,0.4465,0.5983,0.6679,5.2983,1.288878592,1.3312988987
